name,team,Pos,wRC,oWAR,offWAR,atBats,plateAppearances,hits,doubles,triples,homeRuns,walks,hitByPitch,sacFlies,sacBunts,intentionalWalks,strikeouts,doublePlays,steals,caughtStealing,runs,rbis,avg,obp,slg,ops,wOBA,wRAA,wSB,spd,ubr,PosAdj
서호철,Dinos (KBO),3루,88.18963277,1.270638516,1.082721849,287,323,74,11,0,2,30,1,4,1,0,47,6,5,4,37,38,0.2835820896,0.3483146067,0.3805970149,0.7289116217,0.3296236314,-7.140255657,-1.516898231,2.939486188,-3.065627618,0.1879166667
나승엽,Giants (KBO),1루,129.9001888,2.43945089,3.20195089,169,224,44,8,0,1,44,2,4,5,0,32,5,4,3,32,13,0.3039215686,0.4038461538,0.4705882353,0.8744343891,0.3929212776,14.6699568,-0.0643656208,4.602380752,-0.8860822782,-0.7624999999
오태곤,Landers (KBO),1루,80.76299933,0.2232101142,0.6773767808,361,401,106,17,0,8,29,5,0,5,0,37,13,4,1,39,46,0.253968254,0.3302325581,0.380952381,0.7111849391,0.3183533808,-5.621700081,1.382774825,5.426232365,0.1126930638,-0.4541666666
제러드,Bears (KBO),우익,207.2595779,1.609584241,1.725834241,310,370,93,28,4,5,50,4,4,2,0,65,3,0,0,47,48,0.3461538462,0.4408602151,0.7179487179,1.158808933,0.5103176327,13.37189171,-0.01521369219,2.976785714,-0.7483356028,-0.11625
이창진,Tigers (KBO),좌익,104.487178,0.7237930813,1.003793081,307,356,81,16,1,5,33,8,3,2,3,95,5,2,4,42,42,0.2603550296,0.4109589041,0.325443787,0.7364026911,0.3543558898,1.347395616,-0.8870559889,3.313030295,-1.622408814,-0.28
이도윤,Eagles (KBO),유격,76.05233269,0.9265674888,0.5503174888,192,221,49,12,0,4,20,1,3,3,2,58,3,18,4,27,22,0.2740740741,0.3277027027,0.337037037,0.6647397397,0.3112047322,-9.662812004,-0.4893965569,5.909725896,0.6053834489,0.37625
박승욱,Giants (KBO),유격,90.73604091,1.404353716,0.9606037155,327,383,90,21,1,6,39,3,7,6,1,85,3,8,5,42,45,0.2647058824,0.3541076487,0.3725490196,0.7266566683,0.3334879203,-4.40858075,-1.844726849,3.49386265,-1.890655246,0.44375
배정대,Wiz (KBO),중견,94.66701279,1.580022904,1.421272904,81,97,27,8,0,7,13,2,1,0,0,22,0,0,0,17,22,0.2769230769,0.3546666667,0.4030769231,0.7577435897,0.3394533471,-2.723763127,-1.193620579,4.471454862,-0.9198872511,0.15875
김헌곤,Lions (KBO),좌익,95.42792723,0.6452065133,0.9739565133,239,263,69,7,0,8,18,3,0,3,0,43,4,3,2,35,27,0.2887029289,0.3461538462,0.4184100418,0.764563888,0.340608069,-1.611917094,-0.5369919747,3.606124167,-1.261525797,-0.32875
김현수,Twins (KBO),지명,105.6438392,1.188268705,2.605768705,177,187,50,3,1,5,8,1,1,0,0,44,4,0,0,12,19,0.2953488372,0.3580246914,0.4162790698,0.7743037611,0.3561111752,3.676924534,0.1732823829,3.944767578,-2.092519868,-1.4175
변상권,Heroes (KBO),좌익,78.46966191,-0.01543294186,0.2133170581,434,490,128,28,2,7,41,5,9,0,1,66,9,4,1,53,58,0.2774566474,0.3114754098,0.3757225434,0.6871979532,0.3148731381,-5.281724666,-0.02867195835,1.962867832,-1.706432794,-0.22875
박세혁,Dinos (KBO),포수,79.77926976,0.6365029934,0.3448363268,126,144,34,8,0,1,11,3,0,4,0,39,3,4,0,17,8,0.2704918033,0.3455882353,0.3524590164,0.6980472517,0.3168605269,-3.794885611,0.7771794617,4.00277033,-0.5339305826,0.2916666666
조대현,Wiz (KBO),포수,125.6874539,0.2687296231,0.2083129565,102,126,22,3,0,4,21,1,0,1,1,27,1,1,0,19,19,0.3913043478,0.4615384615,0.4782608696,0.9397993311,0.3865282628,0.9986030222,-0.005851420072,2.247619048,-0.3596220374,0.06041666666
박상언,Eagles (KBO),포수,125.5835419,0.5258881629,0.4175548296,27,33,10,2,0,0,3,0,0,3,0,11,0,0,0,2,2,0.2857142857,0.4230769231,0.3571428571,0.7802197802,0.3863705717,1.783355119,0.1888823019,3.355473525,-0.3966891251,0.1083333333
이형종,Heroes (KBO),우익,96.53575793,0.3634939684,0.5159939684,42,52,12,3,0,0,9,1,0,0,0,12,0,1,0,4,4,0.2121212121,0.3553719008,0.3636363636,0.7190082645,0.342289252,-0.5665547438,0.1795200297,3.789138828,-0.5530256017,-0.1525
이우성,Tigers (KBO),1루,112.0587106,1.57283585,2.337419183,121,141,30,6,1,3,16,1,2,1,0,30,6,0,0,20,16,0.3088685015,0.378746594,0.4281345566,0.8068811506,0.3658460313,5.932541073,0.7849852231,3.911135132,-1.693334468,-0.7645833332
고명준,Landers (KBO),1루,81.23602334,-0.3170328727,0.3329671271,296,352,58,9,0,16,41,2,6,7,0,125,5,0,0,35,46,0.2627986348,0.3076923077,0.409556314,0.7172486217,0.3190712161,-7.847897039,-2.028928015,2.289526551,-2.393503674,-0.6499999999
